bowler,numMatches,BowlingStyle
A Mishra,52,Legbreak
A Nehra,14,Left arm medium fast
A Nortje,16,Right arm fast
A Zampa,14,Legbreak
AB Dinda,12,Right arm medium fast
AD Russell,46,Right arm fast
AJ Tye,27,Right arm medium fast
AR Patel,65,Slow left arm orthodox
AS Rajpoot,27,Right arm medium
Arshdeep Singh,11,Left arm medium fast
B Kumar,62,Right arm medium
BA Stokes,36,Right arm fast medium
BB Sran,23,Left arm medium
BCJ Cutting,16,Right arm fast medium
Basil Thampi,20,Right arm fast medium
Bipul Sharma,13,Slow left arm orthodox
C de Grandhomme,19,Right arm medium fast
CH Morris,43,Right arm fast medium
CJ Anderson,11,Left arm medium fast
CJ Jordan,20,Right arm fast medium
CR Brathwaite,16,Right arm fast medium
CR Woakes,18,Right arm fast medium
CV Varun,14,Legbreak
DJ Bravo,49,Right arm medium
DJ Hooda,14,Right arm offbreak
DL Chahar,48,Right arm medium
DR Smith,17,Right arm medium
DS Kulkarni,39,Right arm medium
DT Christian,17,Right arm fast medium
GJ Maxwell,32,Right arm offbreak
HH Pandya,52,Right arm medium fast
HV Patel,18,Right arm medium
Harbhajan Singh,48,Right arm offbreak
I Sharma,24,Right arm fast medium
I Udana,10,Left arm medium fast
Imran Tahir,42,Legbreak
Iqbal Abdulla,10,Slow left arm orthodox
J Yadav,11,Right arm offbreak
JC Archer,35,Right arm fast
JD Unadkat,46,Left arm medium
JJ Bumrah,75,Right arm fast
JL Pattinson,10,Right arm fast medium
JO Holder,11,Right arm medium fast
JP Faulkner,15,Left arm fast medium
K Gowtham,24,Right arm offbreak
K Rabada,35,Right arm fast
KA Pollard,16,Right arm medium
KC Cariappa,10,Legbreak
KH Pandya,69,Slow left arm orthodox
KK Ahmed,17,Left arm medium
KV Sharma,25,Legbreak
Kartik Tyagi,10,Right arm medium fast
Kuldeep Yadav,43,Left arm wrist spin
L Ngidi,11,Right arm fast medium
LH Ferguson,14,Right arm fast
M Ashwin,31,Legbreak
M Markande,17,Legbreak
M Morkel,10,Right arm fast
M Prasidh Krishna,24,Right arm medium fast
MC Henriques,29,Right arm fast medium
MG Johnson,14,Left arm fast
MJ McClenaghan,44,Left arm fast medium
MM Ali,17,Right arm offbreak
MM Sharma,39,Right arm medium
MP Stoinis,37,Right arm medium
Mohammad Nabi,14,Right arm offbreak
Mohammed Shami,48,Right arm fast
Mohammed Siraj,35,Right arm medium fast
Mujeeb Ur Rahman,18,Right arm offbreak
Mustafizur Rahman,24,Left arm fast medium
N Rana,14,Right arm offbreak
NA Saini,26,Right arm fast
NLTC Perera,11,Right arm medium fast
NM Coulter-Nile,19,Right arm fast
P Kumar,22,Right arm medium
P Negi,23,Slow left arm orthodox
PJ Cummins,26,Right arm fast
PP Chawla,52,Legbreak
R Ashwin,57,Right arm offbreak
R Bhatia,13,Right arm medium fast
R Tewatia,28,Legbreak
RA Jadeja,69,Slow left arm orthodox
RD Chahar,30,Legbreak
Rashid Khan,62,Legbreak
Ravi Bishnoi,14,Legbreak
S Aravind,19,Left arm medium fast
S Gopal,39,Legbreak
S Kaul,35,Right arm medium
S Kaushik,10,Left arm wrist spin
S Nadeem,27,Slow left arm orthodox
SK Raina,11,Right arm offbreak
SL Malinga,24,Right arm fast
SM Curran,22,Left arm medium fast
SN Thakur,43,Right arm medium
SP Narine,64,Right arm offbreak
SR Watson,35,Right arm fast medium
STR Binny,21,Right arm medium
Sandeep Sharma,63,Right arm medium
Shakib Al Hasan,30,Slow left arm orthodox
Shivam Mavi,17,Right arm fast medium
T Natarajan,22,Left arm medium
TA Boult,41,Left arm fast medium
TG Southee,25,Right arm medium fast
TK Curran,10,Right arm fast medium
UT Yadav,50,Right arm fast
V Shankar,14,Right arm medium
VR Aaron,22,Right arm fast
Washington Sundar,35,Right arm offbreak
YK Pathan,10,Right arm offbreak
YS Chahal,69,Legbreak
Z Khan,23,Left arm fast medium
